id,sellerId,categoryId,title,description,startPrice,currentPrice,stepPrice,buyNowPrice,autoExtendEnabled,autoExtendMinutes,startedAt,endAt,updatedAt,highRatingRequired,winnerId
9b1deb4d-3b7d-4bad-9bdd-2b0d7b3dcb01,bidder-4,parent-Electronics,"Chia Harvester / JBOD Kit | Up to 44x 3.5"" HDDs!","<h1><strong>Chia Harvester / JBOD Kit - Custom Build</strong></h1><p>Biến không gian của bạn thành một trung tâm dữ liệu thu nhỏ với bộ kit JBOD tùy chỉnh này. Được thiết kế tối ưu cho việc đào Chia Coin hoặc xây dựng hệ thống lưu trữ Big Data chi phí thấp, bộ khung này cho phép bạn mở rộng dung lượng lưu trữ lên mức tối đa mà không cần đầu tư vào các hệ thống server đắt đỏ.</p><h3>Features:</h3><ol><li>Khả năng mở rộng khủng khiếp với hỗ trợ lên tới 44 ổ cứng 3.5 inch cùng lúc.</li><li>Thiết kế luồng khí thông minh giúp giữ nhiệt độ ổ cứng luôn ở mức an toàn khi hoạt động 24/7.</li><li>Bao gồm sẵn bộ nguồn (PSU) công suất thực, đảm bảo dòng điện ổn định cho toàn bộ hệ thống ổ cứng.</li><li>Tương thích tốt với các phần mềm quản lý JBOD và các OS phổ biến như Linux, Windows Server.</li><li>Kết cấu khung thép chắc chắn, giảm thiểu rung động gây hại cho ổ cứng.</li></ol><h3>What&rsquo;s In The Box:</h3><ol><li>Khung Case JBOD (Custom)</li><li>Bộ nguồn (PSU) đi kèm</li><li>Hệ thống quạt tản nhiệt gắn sẵn</li><li>Bộ dây cáp kết nối nguồn và dữ liệu cho 44 ổ cứng</li><li>Bộ ốc vít lắp đặt</li></ol>",1000000,1000000,100000,1500000,true,15,2024-01-01T00:00:00Z,2025-12-31T23:59:59Z,2024-01-01T00:00:00Z,false,
9b1deb4d-3b7d-4bad-9bdd-2b0d7b3dcb02,bidder-4,parent-Electronics,"Dell PowerEdge R720 Server | Dual Xeon E5 | 128GB RAM","<h1><strong>Dell PowerEdge R720 Server - Enterprise Grade</strong></h1><p>Dell PowerEdge R720 là dòng máy chủ 2U huyền thoại, mang lại sự cân bằng hoàn hảo giữa hiệu năng, khả năng mở rộng và giá thành. Được trang bị cấu hình Dual Xeon mạnh mẽ và lượng RAM lớn, đây là lựa chọn lý tưởng cho ảo hóa (VMware/Proxmox), chạy Lab, hoặc làm máy chủ file cho doanh nghiệp vừa và nhỏ.</p><h3>Features:</h3><ol><li>Hiệu năng xử lý đa nhiệm vượt trội với 2 CPU Intel Xeon E5 series.</li><li>Bộ nhớ RAM 128GB ECC Registered đảm bảo sự ổn định tuyệt đối trong quá trình vận hành lâu dài.</li><li>Khả năng mở rộng linh hoạt với nhiều khe cắm PCIe và khay ổ cứng Hot-swap.</li><li>Quản lý từ xa dễ dàng với iDRAC 7 Enterprise (cần license riêng nếu nâng cấp), cho phép điều khiển server mọi lúc mọi nơi.</li><li>Hệ thống nguồn dự phòng (Redundant PSU) giúp server hoạt động liên tục ngay cả khi một nguồn gặp sự cố.</li></ol><h3>What&rsquo;s In The Box:</h3><ol><li>Máy chủ Dell PowerEdge R720</li><li>2x Dây nguồn chuẩn C13</li><li>Mặt nạ bảo vệ (Bezel) - Tùy chọn</li><li>Không bao gồm Rail kit (thanh trượt)</li></ol>",800000,850000,50000,1200000,true,10,2024-01-01T00:00:00Z,2025-12-20T18:00:00Z,2024-01-01T00:00:00Z,true,
9b1deb4d-3b7d-4bad-9bdd-2b0d7b3dcb03,bidder-4,parent-Electronics,"NVIDIA RTX 3080 Founders Edition | 10GB GDDR6X","<h1><strong>NVIDIA GeForce RTX 3080 Founders Edition</strong></h1><p>Sở hữu thiết kế độc bản và hiệu năng gaming 4K đỉnh cao, RTX 3080 Founders Edition không chỉ là một chiếc card đồ họa mà còn là một tác phẩm nghệ thuật công nghệ. Với kiến trúc Ampere, chiếc card này mang lại bước nhảy vọt về hiệu suất Ray Tracing và AI, phù hợp cho cả game thủ hardcore và các nhà sáng tạo nội dung.</p><h3>Features:</h3><ol><li>Kiến trúc NVIDIA Ampere mang lại hiệu suất nhanh gấp 2 lần so với thế hệ trước.</li><li>Bộ nhớ 10GB GDDR6X tốc độ siêu nhanh, băng thông lớn cho trải nghiệm game 4K mượt mà.</li><li>Hệ thống tản nhiệt Flow-through độc đáo của bản Founders Edition giúp tối ưu luồng khí trong case.</li><li>Hỗ trợ công nghệ DLSS AI Acceleration giúp tăng FPS mà không làm giảm chất lượng hình ảnh.</li><li>Cổng kết nối HDMI 2.1 hỗ trợ xuất hình ảnh 8K hoặc 4K 120Hz.</li></ol><h3>What&rsquo;s In The Box:</h3><ol><li>Card đồ họa NVIDIA RTX 3080 Founders Edition</li><li>Đầu chuyển nguồn NVIDIA 12-pin to 2x 8-pin</li><li>Sách hướng dẫn sử dụng</li><li>Hộp đựng nguyên bản (Original Box)</li></ol>",2400000,2500000,100000,3000000,true,5,2024-01-01T00:00:00Z,2025-11-30T20:00:00Z,2024-01-01T00:00:00Z,true,
9b1deb4d-3b7d-4bad-9bdd-2b0d7b3dcb04,bidder-4,parent-Electronics,"Seagate IronWolf 10TB NAS HDD | 7200RPM","<h1><strong>Seagate IronWolf 10TB NAS HDD</strong></h1><p>Được thiết kế đặc biệt cho các hệ thống lưu trữ mạng (NAS), ổ cứng Seagate IronWolf mang lại sự bền bỉ và tin cậy cho nhu cầu hoạt động 24/7. Với dung lượng 10TB khổng lồ, đây là giải pháp nâng cấp tuyệt vời cho Synology, QNAP hoặc các hệ thống Home Server.</p><h3>Features:</h3><ol><li>Công nghệ AgileArray tối ưu hóa cho môi trường NAS, giúp cân bằng ổ đĩa kép và phục hồi lỗi RAID.</li><li>Tốc độ quay 7200RPM cùng bộ nhớ đệm lớn cho tốc độ truy xuất dữ liệu nhanh chóng.</li><li>Cảm biến rung động xoay (RV Sensors) tích hợp giúp duy trì hiệu suất trong các khay ổ cứng đa slot.</li><li>Độ bền cao với chỉ số MTBF lên tới 1 triệu giờ và khả năng chịu tải làm việc 180TB/năm.</li><li>Tương thích hoàn hảo với phần mềm quản lý sức khỏe ổ cứng IronWolf Health Management.</li></ol><h3>What&rsquo;s In The Box:</h3><ol><li>Ổ cứng Seagate IronWolf 10TB (Đóng gói chống tĩnh điện)</li><li>Không bao gồm cáp SATA và ốc vít (sản phẩm OEM)</li></ol>",450000,500000,30000,900000,false,0,2024-01-01T00:00:00Z,2025-10-15T12:00:00Z,2024-01-01T00:00:00Z,false,
9b1deb4d-3b7d-4bad-9bdd-2b0d7b3dcb05,bidder-4,parent-Electronics,"ASUS ROG Strix B550-F Gaming Motherboard | AM4","<h1><strong>ASUS ROG Strix B550-F Gaming (Wi-Fi)</strong></h1><p>Xây dựng dàn PC trong mơ của bạn với bo mạch chủ ASUS ROG Strix B550-F. Được thiết kế để khai thác tối đa sức mạnh của bộ vi xử lý AMD Ryzen, bo mạch chủ này kết hợp thẩm mỹ ROG đậm chất game thủ với hệ thống cấp điện mạnh mẽ và khả năng tản nhiệt hiệu quả.</p><h3>Features:</h3><ol><li>Socket AM4 sẵn sàng cho Ryzen 3000 và 5000 Series.</li><li>Hỗ trợ PCIe 4.0 cho card đồ họa và ổ cứng M.2 NVMe, mang lại tốc độ truyền tải dữ liệu siêu nhanh.</li><li>Hệ thống cấp điện 12+2 power stages đảm bảo năng lượng ổn định cho CPU khi ép xung.</li><li>Công nghệ âm thanh SupremeFX S1220A và khử ồn AI hai chiều cho trải nghiệm giao tiếp trong game rõ ràng.</li><li>Tích hợp WiFi 6 (802.11ax) và Intel 2.5 Gb Ethernet cho kết nối mạng không độ trễ.</li><li>Hệ thống đèn LED Aura Sync RGB có thể tùy chỉnh và đồng bộ hóa.</li></ol><h3>What&rsquo;s In The Box:</h3><ol><li>Bo mạch chủ ASUS ROG Strix B550-F Gaming</li><li>Anten WiFi di động ASUS</li><li>4x Cáp SATA III</li><li>Gói ốc vít cho khe M.2</li><li>Sách hướng dẫn và đĩa Driver</li></ol>",650000,700000,50000,1100000,true,5,2024-01-01T00:00:00Z,2025-09-22T08:30:00Z,2024-01-01T00:00:00Z,false,
9b1deb4d-3b7d-4bad-9bdd-2b0d7b3dcb06,bidder-4,parent-Electronics,"Intel Core i9-12900K Processor | 16 Cores","<h1><strong>Intel Core i9-12900K - Unlocked Processor</strong></h1><p>Trải nghiệm hiệu năng đỉnh cao với ""Quái vật"" Intel Core i9-12900K. Sử dụng kiến trúc lai đột phá kết hợp giữa các lõi hiệu năng cao (P-cores) và lõi tiết kiệm điện (E-cores), CPU này mang lại khả năng xử lý đa nhiệm, gaming và sáng tạo nội dung ở một đẳng cấp hoàn toàn mới.</p><h3>Features:</h3><ol><li>Sở hữu 16 nhân (8 P-cores, 8 E-cores) và 24 luồng xử lý.</li><li>Tốc độ xung nhịp tối đa lên tới 5.2 GHz với công nghệ Turbo Boost Max 3.0.</li><li>Hỗ trợ cả bộ nhớ DDR5 tiên tiến và DDR4 phổ biến.</li><li>Tương thích chuẩn PCIe Gen 5.0 băng thông rộng cho các card đồ họa tương lai.</li><li>Phiên bản 'K' cho phép ép xung (Overclocking) dễ dàng để đạt hiệu suất cao hơn nữa.</li><li>Đồ họa tích hợp Intel UHD Graphics 770 mạnh mẽ.</li></ol><h3>What&rsquo;s In The Box:</h3><ol><li>Vi xử lý Intel Core i9-12900K</li><li>Hộp đựng thiết kế đặc biệt (Wafer design)</li><li>Sách hướng dẫn lắp đặt</li><li>(Lưu ý: Không đi kèm quạt tản nhiệt)</li></ol>",3000000,3200000,150000,3800000,true,10,2024-01-01T00:00:00Z,2025-08-10T21:00:00Z,2024-01-01T00:00:00Z,true,
9b1deb4d-3b7d-4bad-9bdd-2b0d7b3dcb07,bidder-4,parent-Electronics,"Corsair RM850x 80+ Gold Power Supply | Modular","<h1><strong>Corsair RM850x - 850W 80 PLUS Gold PSU</strong></h1><p>Corsair RM850x là trái tim bền bỉ cho hệ thống PC cao cấp của bạn. Với chứng nhận 80 PLUS Gold, thiết kế Full Modular gọn gàng và linh kiện chất lượng cao, bộ nguồn này đảm bảo cung cấp năng lượng sạch, ổn định và cực kỳ yên tĩnh cho mọi tác vụ nặng nề nhất.</p><h3>Features:</h3><ol><li>Công suất 850W, thoải mái cho các cấu hình sử dụng RTX 3080/3090 hoặc 40-series.</li><li>Chứng nhận 80 PLUS Gold cho hiệu suất năng lượng cao, giảm nhiệt lượng tỏa ra và tiết kiệm điện.</li><li>Thiết kế Full Modular: Chỉ cắm những dây cáp cần thiết, giúp case gọn gàng và thoáng khí hơn.</li><li>Chế độ Zero RPM Fan Mode: Quạt sẽ không quay khi tải nhẹ, mang lại sự im lặng tuyệt đối.</li><li>Sử dụng 100% tụ điện Nhật Bản chịu nhiệt 105°C, đảm bảo độ bền và độ tin cậy lâu dài.</li></ol><h3>What&rsquo;s In The Box:</h3><ol><li>Nguồn Corsair RM850x</li><li>Bộ dây cáp Modular đầy đủ (Dây Main, CPU, PCIe, SATA, Molex)</li><li>Dây nguồn AC</li><li>Túi đựng cáp</li><li>Dây thắt cáp và ốc vít gắn case</li></ol>",400000,420000,20000,700000,false,0,2024-01-01T00:00:00Z,2025-07-05T09:00:00Z,2024-01-01T00:00:00Z,false,
9b1deb4d-3b7d-4bad-9bdd-2b0d7b3dcb08,bidder-4,parent-Electronics,"Samsung 980 PRO NVMe SSD 1TB | PCIe 4.0","<h1><strong>Samsung 980 PRO PCIe 4.0 NVMe M.2 SSD - 1TB</strong></h1><p>Giải phóng sức mạnh tính toán của bạn với Samsung 980 PRO. Sử dụng giao diện PCIe 4.0, ổ cứng SSD này mang lại tốc độ đọc ghi dữ liệu ở mức độ ""không tưởng"", giúp giảm thiểu thời gian tải game, render video và khởi động hệ thống xuống mức thấp nhất. Tương thích hoàn hảo với PC cấu hình cao và máy chơi game PS5.</p><h3>Features:</h3><ol><li>Tốc độ đọc tuần tự lên tới 7,000 MB/s và ghi 5,000 MB/s.</li><li>Sử dụng Controller Elpis độc quyền của Samsung tối ưu cho PCIe 4.0.</li><li>Công nghệ V-NAND 3-bit MLC mang lại hiệu suất và độ bền vượt trội.</li><li>Kiểm soát nhiệt thông minh với lớp phủ niken trên controller và nhãn tản nhiệt.</li><li>Phần mềm Samsung Magician giúp quản lý, tối ưu hóa và bảo vệ dữ liệu dễ dàng.</li></ol><h3>What&rsquo;s In The Box:</h3><ol><li>Ổ cứng SSD Samsung 980 PRO 1TB</li><li>Sách hướng dẫn sử dụng và bảo hành</li><li>Phần mềm Samsung Magician (tải về từ trang chủ)</li></ol>",900000,960000,50000,1500000,true,5,2024-01-01T00:00:00Z,2025-06-28T16:45:00Z,2024-01-01T00:00:00Z,false,
9b1deb4d-3b7d-4bad-9bdd-2b0d7b3dcb09,bidder-4,parent-Electronics,"HP Z840 Workstation | Dual Xeon E5 | 64GB DDR4","<h1><strong>HP Z840 Workstation - Extreme Performance</strong></h1><p>HP Z840 là một trong những máy trạm mạnh mẽ nhất của HP, được thiết kế để chinh phục những thách thức tính toán khó khăn nhất. Từ dựng phim 4K/8K, mô phỏng 3D phức tạp đến phân tích dữ liệu khoa học, Z840 với cấu hình Dual Xeon mang lại độ tin cậy và khả năng mở rộng không giới hạn.</p><h3>Features:</h3><ol><li>Hỗ trợ 2 bộ vi xử lý Intel Xeon E5-2600 v3/v4 series cho hiệu năng đa luồng cực đại.</li><li>64GB DDR4 ECC Memory (hỗ trợ nâng cấp tối đa lên tới 2TB RAM).</li><li>Khung máy tool-less (không cần tua vít) giúp nâng cấp và bảo trì cực kỳ dễ dàng.</li><li>Hệ thống tản nhiệt khí động học giúp máy chạy êm ái ngay cả khi full tải.</li><li>Bộ nguồn công suất lớn, hỗ trợ nhiều card đồ họa chuyên dụng (Quadro/Tesla).</li></ol><h3>What&rsquo;s In The Box:</h3><ol><li>Máy trạm HP Z840 Workstation</li><li>Dây nguồn chuẩn C19 (cho nguồn công suất cao)</li><li>Chuột và bàn phím HP (có dây)</li></ol>",1700000,1800000,80000,2500000,true,10,2024-01-01T00:00:00Z,2025-05-12T11:30:00Z,2024-01-01T00:00:00Z,true,
9b1deb4d-3b7d-4bad-9bdd-2b0d7b3dcb10,bidder-4,parent-Electronics,"Synology DS920+ NAS | Quad-Core | 4-Bay","<h1><strong>Synology DiskStation DS920+</strong></h1><p>Synology DS920+ là giải pháp lưu trữ gắn mạng (NAS) lý tưởng để quản lý dữ liệu tập trung và năng suất làm việc. Với khả năng mở rộng linh hoạt và khe cắm SSD Cache tích hợp, DS920+ giúp bạn sao lưu dữ liệu, đồng bộ hóa file giữa các thiết bị và stream nội dung đa phương tiện một cách mượt mà và an toàn.</p><h3>Features:</h3><ol><li>Bộ vi xử lý 4 nhân Intel Celeron J4125 mạnh mẽ cho tốc độ phản hồi nhanh.</li><li>4 khay ổ cứng (4-Bay) hỗ trợ dung lượng lưu trữ lớn, có thể mở rộng lên 9 ổ với DX517.</li><li>2 khe cắm M.2 2280 NVMe SSD tích hợp sẵn để tạo bộ nhớ đệm (Cache) tăng tốc độ I/O.</li><li>Hệ điều hành DiskStation Manager (DSM) trực quan, giàu tính năng với kho ứng dụng phong phú.</li><li>Hỗ trợ chuyển mã video 4K trực tuyến (Transcoding), tuyệt vời cho Plex server.</li></ol><h3>What&rsquo;s In The Box:</h3><ol><li>Thiết bị chính DS920+</li><li>Bộ chuyển đổi nguồn AC (Adapter) và dây nguồn</li><li>2x Dây cáp mạng RJ-45 LAN</li><li>Gói ốc vít gắn ổ cứng 2.5""</li><li>Khóa khay ổ cứng</li></ol>",250000,290000,20000,600000,true,5,2024-01-01T00:00:00Z,2025-04-01T22:10:00Z,2024-01-01T00:00:00Z,false,
